John Carpenter: Mean_cast=22.1, Mean_crew=24
Wes Anderson: Mean_cast=28.428572, Mean_crew=26.571428
David Cronenberg: Mean_cast=20.571428, Mean_crew=39.57143
John Stockwell: Mean_cast=11.75, Mean_crew=16.5
David Gordon Green: Mean_cast=20.375, Mean_crew=18.75
Jim Sheridan: Mean_cast=21.666666, Mean_crew=58.666668
Costa-Gavras: Mean_cast=17, Mean_crew=13
Patrick Read Johnson: Mean_cast=6, Mean_crew=5
Richard LaGravenese: Mean_cast=24, Mean_crew=24.2
Danny DeVito: Mean_cast=47.333332, Mean_crew=20
George Armitage: Mean_cast=16.5, Mean_crew=11
Patrick Lussier: Mean_cast=22.25, Mean_crew=32.5
James Wong: Mean_cast=16.25, Mean_crew=61
